StreetName,buldingNr,apartmentNr,postalCode,city,district
Tadeusza Dołęgi-Mostowicza,11,,54-622,Wrocław, 
Janusza Meissnera,5,,54-622,Wrocław, 
Jerzego Cieślikowskiego,19,,54-622,Wrocław, 
Janusza Meissnera,2,,54-622,Wrocław, 
Marii Dąbrowskiej,3,,54-622,Wrocław, 
Melchiora Wańkowicza,10,,54-622,Wrocław, 
Jerzego Cieślikowskiego,5,,54-622,Wrocław, 
Jana Parandowskiego,3,,54-622,Wrocław, 
Stanisława Dygata,3,,54-622,Wrocław, 
Zenona Kosidowskiego,1,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,15,,54-622,Wrocław, 
Romualda Cabaja,7,,54-622,Wrocław, 
Stanisława Dygata,2,,54-622,Wrocław, 
Melchiora Wańkowicza,16a,,54-622,Wrocław, 
Jerzego Cieślikowskiego,21,,54-622,Wrocław, 
Romualda Cabaja,13,,54-622,Wrocław, 
Romualda Cabaja,9,,54-622,Wrocław, 
Witolda Gombrowicza,5,,54-622,Wrocław, 
Stanisława Dygata,5,,54-622,Wrocław, 
Romualda Cabaja,11,,54-622,Wrocław, 
Melchiora Wańkowicza,8,,54-622,Wrocław, 
Janusza Meissnera,10,,54-622,Wrocław, 
Janusza Meissnera,4,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,5,,54-622,Wrocław, 
Melchiora Wańkowicza,18,,54-622,Wrocław, 
Melchiora Wańkowicza,14,,54-622,Wrocław, 
Zenona Kosidowskiego,9,,54-622,Wrocław, 
Jana Parandowskiego,9,,54-622,Wrocław, 
Zenona Kosidowskiego,7,,54-622,Wrocław, 
Kamila Giżyckiego,4,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,12,,54-622,Wrocław, 
Janusza Meissnera,3,,54-622,Wrocław, 
Melchiora Wańkowicza,6,,54-622,Wrocław, 
Jana Parandowskiego,27,,54-622,Wrocław, 
Witolda Gombrowicza,3,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,9,,54-622,Wrocław, 
Kamila Giżyckiego,3,,54-622,Wrocław, 
Partyzantów,21,,51-672,Wrocław, 
Jerzego Cieślikowskiego,23,,54-622,Wrocław, 
Zenona Kosidowskiego,5,,54-622,Wrocław, 
Jerzego Cieślikowskiego,9,,54-622,Wrocław, 
Jerzego Cieślikowskiego,17,,54-622,Wrocław, 
Melchiora Wańkowicza,22,,54-622,Wrocław, 
Jana Parandowskiego,19,,54-622,Wrocław, 
Marka Hłaski,26b,,54-608,Wrocław, 
Tadeusza Dołęgi-Mostowicza,2,,54-622,Wrocław, 
Leopolda Tyrmanda,30,,54-608,Wrocław, 
Romualda Cabaja,15,,54-622,Wrocław, 
Kamila Giżyckiego,6,,54-622,Wrocław, 
Janusza Meissnera,1,,54-622,Wrocław, 
Janusza Meissnera,7,,54-622,Wrocław, 
Zenona Kosidowskiego,6,,54-622,Wrocław, 
Emilii Plater,18,,51-680,Wrocław, 
Kamila Giżyckiego,2,,54-622,Wrocław, 
Janusza Meissnera,12,,54-622,Wrocław, 
Stanisława Dygata,12,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,19,,54-622,Wrocław, 
Stanisława Dygata,6,,54-622,Wrocław, 
Melchiora Wańkowicza,20,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,13,,54-622,Wrocław, 
Jerzego Cieślikowskiego,30,,54-622,Wrocław, 
Jerzego Cieślikowskiego,3,,54-622,Wrocław, 
Jana Parandowskiego,29,,54-622,Wrocław, 
Jerzego Cieślikowskiego,25,,54-622,Wrocław, 
Melchiora Wańkowicza,16,,54-622,Wrocław, 
Zenona Kosidowskiego,12,,54-622,Wrocław, 
Kamila Giżyckiego,10,,54-622,Wrocław, 
Marii Dąbrowskiej,7,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,6,,54-622,Wrocław, 
Kamila Giżyckiego,7,,54-622,Wrocław, 
Jerzego Cieślikowskiego,26,,54-622,Wrocław, 
Jana Parandowskiego,25,,54-622,Wrocław, 
Jerzego Cieślikowskiego,13,,54-622,Wrocław, 
Jana Parandowskiego,13,,54-622,Wrocław, 
Leopolda Tyrmanda,2,,54-608,Wrocław, 
Kamila Giżyckiego,9,,54-622,Wrocław, 
Janusza Meissnera,14,,54-622,Wrocław, 
Zenona Kosidowskiego,8,,54-622,Wrocław, 
Jerzego Cieślikowskiego,11,,54-622,Wrocław, 
Stanisława Dygata,4,,54-622,Wrocław, 
Jana Parandowskiego,35,,54-622,Wrocław, 
Jana Parandowskiego,45,,54-622,Wrocław, 
Kamila Giżyckiego,8,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,3,,54-622,Wrocław, 
Zenona Kosidowskiego,11,,54-622,Wrocław, 
Zenona Kosidowskiego,2,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,1,,54-622,Wrocław, 
Witolda Gombrowicza,9,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,8,,54-622,Wrocław, 
Marii Dąbrowskiej,1,,54-622,Wrocław, 
Zenona Kosidowskiego,4,,54-622,Wrocław, 
Jana Parandowskiego,17,,54-622,Wrocław, 
Jana Parandowskiego,7,,54-622,Wrocław, 
Marii Dąbrowskiej,5,,54-622,Wrocław, 
Zenona Kosidowskiego,3,,54-622,Wrocław, 
Jana Parandowskiego,37,,54-622,Wrocław, 
Jana Parandowskiego,5,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,17,,54-622,Wrocław, 
Tadeusza Dołęgi-Mostowicza,7,,54-622,Wrocław, 
Janusza Meissnera,8,,54-622,Wrocław, 
Witolda Gombrowicza,13,,54-622,Wrocław, 
Melchiora Wańkowicza,12,,54-622,Wrocław, 
Jerzego Cieślikowskiego,15,,54-622,Wrocław, 
Jerzego Cieślikowskiego,7,,54-622,Wrocław, 
Stanisława Dygata,8,,54-622,Wrocław, 
Zenona Kosidowskiego,10,,54-622,Wrocław, 
Melchiora Wańkowicza,4,,54-622,Wrocław, 
Stanisława Dygata,10,,54-622,Wrocław, 
Stanisława Dygata,7,,54-622,Wrocław, 
Leopolda Tyrmanda,36,,54-608,Wrocław, 
Nowowiejska,79,,50-340,Wrocław, 
Zawalna,1k,,51-118,Wrocław, 
Bolesława Krzywoustego,126,,51-421,Wrocław, 
Gwarecka,11,,54-143,Wrocław, 
Gwarecka,5,,54-143,Wrocław, 
Partynicka,21,,53-031,, 
Kuźnicza,47a,,50-138,Wrocław, 
Kowieńska,17,,51-351,Wrocław, 
Generała Stanisława Maczka,15a,,52-201,Wrocław, 
Warsztatowa,7,,53-014,Wrocław, 
Tapicerska,36,,53-205,Wrocław, 
Franciszka Stefczyka,12,,51-662,Wrocław, 
Szkolna,2,,54-007,Wrocław, 
Kozia,59a,,54-104,Wrocław, 
Kiełczowska,66c,,51-315,Wrocław, 
Sewastopolska,2,,51-203,Wrocław, 
Bzowa,42,,53-224,Wrocław, 
Cieplicka,58,,54-057,Wrocław, 
Adama Mickiewicza,37,,51-684,Wrocław, 
Jugosłowiańska,82,,51-112,Wrocław, 
Warmińska,15,,54-110,Wrocław, 
Sezamkowa,43,,52-317,Wrocław, 
Promień,9,,51-659,Wrocław, 
Braci Gierymskich,122,,51-640,Wrocław, 
Turecka,6,,54-403,Wrocław, 
Kozia,47a,,54-104,Wrocław, 
Litewska,40,,51-354,Wrocław, 
Henryka Siemiradzkiego,1,,51-631,Wrocław, 
Starogajowa,110,,54-047,Wrocław, 
Lechitów,2,,51-426,Wrocław, 
Komuny Paryskiej,39,,50-451,Wrocław, 
Kamieniecka,26,,50-511,Wrocław, 
Księgarska,17a,,51-180,Wrocław, 
Ułańska,76b,,52-213,Wrocław, 
Aleja Piastów,98,,52-425,Wrocław, 
Dzielnicowa,5,,54-614,Wrocław, 
Starodębowa,27,,51-251,Wrocław, 
Wielkopolska,3,,54-027,Wrocław, 
Połaniecka,17,,53-403,Wrocław, 
Edwarda Marczewskiego,5-7,,51-169,Wrocław, 
Agrestowa,49,,53-006,Wrocław, 
Inżynierska,8,,53-227,Wrocław, 
Tadeusza Czackiego,34,,51-607,Wrocław, 
Artura Młodnickiego,40,,50-305,Wrocław, 
Sokola,7,,53-147,Wrocław, 
Torfowa,37a,,51-170,Wrocław, 
Białych Goździków,16,,51-376,Wrocław, 
Biskupa Bernarda Bogedaina,1,,50-514,Wrocław, 
Młodzieżowa,10e,,54-020,Wrocław, 
Obornicka,8,,51-113,Wrocław, 
Generała Stanisława Kopańskiego,14,,51-210,Wrocław, 
Jana Szanieckiego,1,,51-692,Wrocław, 
Mroźna,15,,51-352,Wrocław, 
Jerzmanowska,8g,,54-519,Wrocław, 
Marii Konopnickiej,56,,51-142,Wrocław, 
Serbska,9,,51-111,Wrocław, 
Gwarecka,27,,54-143,Wrocław, 
Piotra Czajkowskiego,7,,51-171,Wrocław, 
Stobrawska,26,,54-211,Wrocław, 
Księdza Konstantego Damrota,19a,,50-306,Wrocław, 
Orzechowa,56,,50-540,Wrocław, 
Krotoszyńska,49,,51-009,Wrocław, 
Kalinowa,12,,53-009,Wrocław, 
Jugosłowiańska,110,,51-112,Wrocław, 
Pilczycka,205,,54-144,Wrocław, 
Tadeusza Mikulskiego,4a,,52-420,Wrocław, 
Błogosławionego Wincentego Kadłubka,24a,,52-432,Wrocław, 
Wacława Potockiego,8,,51-153,Wrocław, 
Pachnąca,12,,52-242,Wrocław, 
Lipska,21,,51-003,Wrocław, 
Łukowa,37,,54-034,Wrocław, 
Bernarda Belotta Canaletta,17,,51-650,Wrocław, 
Tatarakowa,8,,51-516,Wrocław, 
Popowicka,46,,54-237,Wrocław, 
Kościelna,16,,52-314,Wrocław, 
Pustecka,43,,54-011,Wrocław, 
Henryka Sienkiewicza,113,,50-346,Wrocław, 
Romualda Mielczarskiego,7,,51-663,Wrocław, 
Zabrzańska,22,,52-017,Wrocław, 
Osobowicka,81b,,51-008,Wrocław, 
Marka Hłaski,31,,54-608,Wrocław, 
Rybacka,11,,53-656,Wrocław, 
Stobrawska,9,,54-211,Wrocław, 
Olsztyńska,56,,51-423,Wrocław, 
Cedrowa,26,,52-112,Wrocław, 
Obornicka,105,,51-114,Wrocław, 
Cypriana Kamila Norwida,36,,50-375,Wrocław, 
Piękna,64j,,50-506,Wrocław, 
Kamiennogórska,51,,54-033,Wrocław, 
Milicka,27,,51-127,Wrocław, 
Ksawerego Liskego,1,,50-345,Wrocław, 
Braniewska,17,,54-109,Wrocław, 
Bolesława Krzywoustego,265a,,51-310,Wrocław, 
Częstochowska,29,,54-033,Wrocław, 
Rymarska,19,,53-206,Wrocław, 
Jana i Jędrzeja Śniadeckich,31,,51-604,Wrocław, 
Kosynierów Gdyńskich,94,,51-687,Wrocław, 
Aleja Marcina Kromera,27b,,51-163,Wrocław, 
Tęczowa,44,,53-602,Wrocław, 
Pionierska,8,,53-213,Wrocław, 
Manganowa,7,,53-441,Wrocław, 
Ignacego Daszyńskiego,66,,50-310,Wrocław, 
Koszarowa,66,,51-149,Wrocław, 
Parkowa,46,,51-616,Wrocław, 
Irkucka,6,,51-210,Wrocław, 
Górnicza,88,,54-136,Wrocław, 
Kościerzyńska,23,,51-430,Wrocław, 
Piotra Wysockiego,32b,,51-692,Wrocław, 
Generała Romana Abrahama,51,,52-206,Wrocław, 
Mokrzańska,43,,54-020,Wrocław, 
Szwedzka,17a,,54-401,Wrocław, 
Wojciecha z Brudzewa,12,,51-601,Wrocław, 
Pułkownika Franciszka Nulla,10,,51-677,Wrocław, 
Płużna,67,,54-530,Wrocław, 
Kostrzyńska,2,,52-320,Wrocław, 
Harcerska,11,,52-404,Wrocław, 
Rodzinna,6,,53-029,Wrocław, 
Generała Franciszka Kleeberga,4,,52-208,Wrocław, 
Tadeusza Czackiego,10a,,51-607,Wrocław, 
Aleja Poprzeczna,56,,51-167,Wrocław, 
Kordiana,12,,51-348,Wrocław, 
Pionierska,18,,53-213,Wrocław, 
Szkolna,13,,54-007,Wrocław, 
Rdestowa,12,,54-530,Wrocław, 
Osobowicka,134,,51-004,Wrocław, 
Nasturcjowa,23,,53-239,Wrocław, 
Lidzbarska,53,,54-111,Wrocław, 
Partynicka,34a,,53-031,Wrocław, 
Łagiewnicka,5-7,,50-512,Wrocław, 
Czarnoleska,9,,51-621,Wrocław, 
Bezpieczna,13,,51-114,Wrocław, 
Białodrzewna,16,,54-115,Wrocław, 
Ełcka,2,,51-427,Wrocław, 
Miłkowska,24,,54-049,Wrocław, 
Daliowa,14,,51-253,Wrocław, 
Bierutowska,69a,,51-317,Wrocław, 
Żwirowa,31,,54-029,Wrocław, 
Majora Henryka Sucharskiego,38,,52-205,Wrocław, 
Brzeska,14,,50-430,Wrocław, 
Romualda Mielczarskiego,4,,51-663,Wrocław, 
Kruszwicka,11,,53-652,Wrocław, 
Karola Marcinkowskiego,12,,50-368,Wrocław, 
Jeleniogórska,25,,54-055,Wrocław, 
Częstochowska,6,,54-033,Wrocław, 
Niedźwiedzia,9,,54-232,Wrocław, 
Bobrza,32,,54-220,Wrocław, 
Łużycka,27,,51-111,Wrocław, 
Generała Stanisława Maczka,33,,52-201,Wrocław, 
Wojrowicka,47a,,54-436,Wrocław, 
Na Ostatnim Groszu,234a,,54-207,Wrocław, 
Krzycka,13b,,53-019,Wrocław, 
Sadownicza,3,,54-109,Wrocław, 
Żółta,4,,54-043,Wrocław, 
Norweska,10a,,54-403,Wrocław, 
Tarasa Szewczenki,26,,51-351,Wrocław, 
Rezedowa,60,,54-515,Wrocław, 
Skarbowców,87a,,53-025,Wrocław, 
Wolinian,9,,52-339,Wrocław, 
Marcina Bukowskiego,37,,52-418,Wrocław, 
Generała Romana Abrahama,10,,52-206,Wrocław, 
Gajowa,33,,50-520,Wrocław, 
Kluczborska,31-33,,50-322,Wrocław, 
Zakopiańska,82,,54-031,Wrocław, 
Odeska,3,,51-205,Wrocław, 
Czereśniowa,9,,53-006,Wrocław, 
Aleja Pracy,33,,53-231,Wrocław, 
Woźnicza,26,,54-313,Wrocław, 
Rumiankowa,22,,54-512,Wrocław, 
Antonia Vivaldiego,8,,52-129,Wrocław, 
Generała Ignacego Prądzyńskiego,45,,50-433,Wrocław, 
Harcerska,24,,52-404,Wrocław, 
Świętego Antoniego,31a,,50-073,Wrocław, 
Ząbkowicka,56,,50-511,Wrocław, 
Legnicka,65b,,54-205,Wrocław, 
Seweryna Wysłoucha,17,,52-433,Wrocław, 
Drohobycka,29,,54-620,Wrocław, 
Górnicza,97,,54-136,Wrocław, 
Woźnicza,9,,54-313,Wrocław, 
Onufrego Zagłoby,38a,,54-514,Wrocław, 
Wita Stwosza,57,,50-149,Wrocław, 
Budziszyńska,28b,,54-434,Wrocław, 
Lazurowa,5,,54-044,Wrocław, 
Grudziądzka,55,,51-165,Wrocław, 
Marii Curie-Skłodowskiej,87a,,50-369,Wrocław, 
Płużna,56a,,54-530,Wrocław, 
Modra,12,,54-151,Wrocław, 
Jana Brzechwy,5a,,51-141,Wrocław, 
Franciszka Stefczyka,66,,51-662,Wrocław, 
Sąsiedzka,5,,53-029,Wrocław, 
Łaska,4,,54-617,Wrocław, 
Poziomkowa,26,,53-007,Wrocław, 
Stanisława Moniuszki,4,,51-610,Wrocław, 
Woskowa,17,,52-121,Wrocław, 
Jana Stanisławskiego,20,,51-638,Wrocław, 
Krakowska,104-112,,50-427,Wrocław, 
Zefirowa,13,,53-027,Wrocław, 
Żwirowa,1a,,54-029,Wrocław, 
Budziszyńska,86,,54-436,Wrocław, 
Lubelska,114,,54-101,Wrocław, 
Bolesława Krzywoustego,126a,,51-421,Wrocław, 
Malarska,30,,50-111,Wrocław, 
Krępicka,69,,54-018,Wrocław, 
Przestrzenna,35,,50-534,Wrocław, 
Marszowicka,162c,,54-078,Wrocław, 
Władysława Anczyca,13,,51-141,Wrocław, 
Jeżowska,40,,54-049,Wrocław, 
Kwiska,22,,54-210,Wrocław, 
Hodowlana,54,,54-109,Wrocław, 
Partynicka,10,,53-031,Wrocław, 
Szczecińska,11a,,54-517,Wrocław, 
Osiedlowa,29a,,54-614,Wrocław, 
Wilgowa,38,,51-418,Wrocław, 
Boguszowska,68,,54-046,Wrocław, 
Hermanowska,26a,,54-314,Wrocław, 
Braniewska,42,,54-109,Wrocław, 
Turecka,13,,54-403,Wrocław, 
Racławicka,95,,53-149,Wrocław, 
Zwycięska,16,,53-033,Wrocław, 
Kamieniecka,9,,50-511,Wrocław, 
Teodora Parnickiego,14,,51-116,Wrocław, 
Wielkopolska,36a,,54-027,Wrocław, 
Sobótki,4,,52-433,Wrocław, 
Olbrachtowska,22,,54-063,Wrocław, 
Sygnałowa,17a,,52-130,Wrocław, 
Jana Parandowskiego,33,,54-622,Wrocław, 
Tkacka,64,,54-138,Wrocław, 
Wyścigowa,56f,,53-012,Wrocław, 
Aleja Tadeusza Boya-Żeleńskiego,71a,,51-162,Wrocław, 
Jarosławska,6,,54-029,Wrocław, 
Mieczykowa,5,,51-252,Wrocław, 
Tadeusza Zielińskiego,22,,53-534,Wrocław, 
Modra,20,,54-151,Wrocław, 
Kurkowa,19,,50-210,Wrocław, 
Rzeszowska,34,,54-030,Wrocław, 
Malborska,14,,51-351,Wrocław, 
Dźwirzyńska,33,,54-320,Wrocław, 
Leopolda Staffa,45,,51-144,Wrocław, 
Rakietowa,19,,54-615,Wrocław, 
Cieplicka,40,,54-057,Wrocław, 
Aptekarska,4,,51-134,Wrocław, 
Junacka,11,,54-020,Wrocław, 
Kolbuszowska,20,,53-404,Wrocław, 
Wojciecha Męcińskiego,11,,53-209,Wrocław, 
Kurska,2,,51-204,Wrocław, 
Gałowska,9,,54-530,Wrocław, 
Kotlarska,42,,50-151,Wrocław, 
Adama Mickiewicza,53,,51-684,Wrocław, 
Młodzieżowa,10h,,54-020,Wrocław, 
Krynicka,21,,50-555,Wrocław, 
Kuźnicza,63-64,,50-138,Wrocław, 
Plac Grunwaldzki,25,,50-365,Wrocław, 
Kamiennogórska,54,,54-033,Wrocław, 
Zachodnia,35,,53-643,Wrocław, 
Jaźwińska,3,,54-063,Wrocław, 
Ślusarska,24a,,53-207,Wrocław, 
Słoneczna,48,,52-335,Wrocław, 
Chałupnicza,41,,51-503,Wrocław, 
Grabowa,83,,54-115,Wrocław, 
Różana,25,,53-226,Wrocław, 
Kreślarska,22,,53-224,Wrocław, 
Marszałka Józefa Piłsudskiego,9a,,50-048,Wrocław, 
Borowska,246,,50-558,Wrocław, 
Paniowicka,5,,54-107,Wrocław, 
Postępowa,63,,54-618,Wrocław, 
Filipińska,17,,52-132,Wrocław, 
Aleja Marcina Kromera,5,,51-163,Wrocław, 
Norweska,9a,,54-403,Wrocław, 
Mariana Smoluchowskiego,56,,50-372,Wrocław, 
Stolarska,72,,53-205,Wrocław, 
Chocimska,6,,51-200,Wrocław, 
Krucza,86,,53-412,Wrocław, 
Sztabowa,75,,53-321,Wrocław, 
Józefa Supińskiego,5,,52-317,Wrocław, 
Borówczana,16,,53-009,Wrocław, 
Marii Curie-Skłodowskiej,46,,50-369,Wrocław, 
Partyzantów,101,,51-679,Wrocław, 
Dekarska,7d,,51-180,Wrocław, 
Malborska,11,,51-351,Wrocław, 
Pełczyńska,7,,51-180,Wrocław, 
Braniewska,29,,54-109,Wrocław, 
Iwana Franki,35,,51-348,Wrocław, 
Okrężna,29,,53-008,Wrocław, 
Czajcza,14,,51-422,Wrocław, 
Kasztelańska,22,,51-200,Wrocław, 
Warsztatowa,6,,53-014,Wrocław, 
Podwale,52,,50-039,Wrocław, 
Mielecka,2a,,53-402,Wrocław, 
Tadeusza Gajcego,29,,51-143,Wrocław, 
Trzebowiańska,4,,54-153,Wrocław, 
Kardynała Stefana Wyszyńskiego,121,,50-307,Wrocław, 
Stacha Świstackiego,4,,50-430,Wrocław, 
Świętego Huberta,8,,51-003,Wrocław, 
Zagony,13,,54-614,Wrocław, 
Hutnicza,72a,,54-139,Wrocław, 
Katedralna,14,,50-328,Wrocław, 
Grabiszyńska,216,,53-235,Wrocław, 
Kamiennogórska,66,,54-033,Wrocław, 
Ignacego Daszyńskiego,19,,50-309,Wrocław, 
Stolarska,69,,53-205,Wrocław, 
Pawła Jasienicy,10,,52-230,Wrocław, 
Braniborska,21,,53-680,Wrocław, 
Wejherowska,19,,54-239,Wrocław, 
Aleja Tadeusza Boya-Żeleńskiego,48,,51-160,Wrocław, 
Księdza Norberta Bonczyka,7,,51-138,Wrocław, 
Ożynowa,7,,53-009,Wrocław, 
Franciszka Stefczyka,8,,51-662,Wrocław, 
Kościelna,22,,52-314,Wrocław, 
Śliczna,59,,50-566,Wrocław, 
Stanisława Pilata,3a,,51-605,Wrocław, 
Swojczycka,107,,51-502,Wrocław, 
Stanisława Dubois,16,,50-207,Wrocław, 
Generała Tadeusza Kutrzeby,6,,52-213,Wrocław, 
Ludwika Pugeta,41,,51-628,Wrocław, 
Wacława Berenta,45,,51-152,Wrocław, 
Generała Franciszka Włada,6,,52-203,Wrocław, 
Karmelkowa,85,,52-319,Wrocław, 
Łukowska,18,,54-102,Wrocław, 
Jana Brzechwy,59,,51-141,Wrocław, 
Jana Baudouina de Courtenay,2b,,51-606,Wrocław, 
Andrzeja Kmicica,60,,54-514,Wrocław, 
Balladyny,14,,52-334,Wrocław, 
Mikołaja Reja,84,,50-343,Wrocław, 
Centralna,17,,52-114,Wrocław, 
Maurycego Beniowskiego,16,,53-210,Wrocław, 
Zawiszy Czarnego,1b,,52-241,Wrocław, 
Tarasa Szewczenki,15b,,51-350,Wrocław, 
Elizy Orzeszkowej,48,,50-311,Wrocław, 
Królewiecka,89,,54-117,Wrocław, 
Karmelkowa,18,,52-436,Wrocław, 
Henryka Hipolita Rodakowskiego,24,,51-637,Wrocław, 
Hermanowska,16,,54-314,Wrocław, 
Berberysowa,48,,54-515,Wrocław, 
Norweska,27d,,54-404,Wrocław, 
Rdestowa,17a,,54-530,Wrocław, 
Księska,2a,,52-020,Wrocław, 
Dokerska,48,,54-142,Wrocław, 
Żernicka,271,,54-510,Wrocław, 
Aleja Karkonoska,47,,53-015,Wrocław, 
Krynicka,14,,50-555,Wrocław, 
Budziszyńska,24,,54-434,Wrocław, 
Heleny Motykówny,26,,51-209,Wrocław, 
Afgańska,2,,52-117,Wrocław, 
Cieplicka,18,,54-057,Wrocław, 
Ludwika Idzikowskiego,4,,54-129,Wrocław, 
Boguszowska,44,,54-046,Wrocław, 
Strońska,35,,50-540,Wrocław, 
Tapicerska,54,,53-205,Wrocław, 
Połabian,38,,52-339,Wrocław, 
Karola Marcinkowskiego,1,,50-368,Wrocław, 
Buczacka,8,,54-611,Wrocław, 
Kozia,27,,54-104,Wrocław, 
Stefana Jaracza,80a,,50-305,Wrocław, 
Mosiężna,31,,53-441,Wrocław, 
Modlińska,42,,53-152,Wrocław, 
Zwycięska,10,,53-033,Wrocław, 
Henryka Pobożnego,11,,50-241,Wrocław, 
Czeska,29,,51-112,Wrocław, 
Pełczyńska,61,,51-180,Wrocław, 
Jana Amosa Komeńskiego,22,,54-514,Wrocław, 
Marmurowa,3,,52-235,Wrocław, 
Ołtaszyńska,120,,53-034,Wrocław, 
Kiełczowska,67,,51-315,Wrocław, 
