StreetName,buldingNr,apartmentNr,postalCode,city,district
Grójecka,46/50,,02-320,Warszawa, 
Grójecka,17A,,02-021,Warszawa, 
Świętokrzyska,32,,00-116,Warszawa, 
Nowy Świat,34,,00-362,Warszawa, 
Nowy Świat,30,,00-373,Warszawa, 
Polna,48 lok. A,,00-644,Warszawa, 
Dzieci Warszawy,27A,,02-495,Warszawa, 
Tarczyńska,5/9,,02-023,Warszawa, 
Koszykowa,59,,00-660,Warszawa, 
Aleja Niepodległości,82,,02-585,Warszawa, 
Wiktorska,10,,02-587,Warszawa, 
Ludwika Narbutta,47,,02-536,Warszawa, 
"Jana Bytnara ""Rudego""",7,,02-645,Warszawa, 
Jana Pawła Woronicza,30,,02-626,Warszawa, 
Złota,59,,00-120,Warszawa, 
Antoniego Malczewskiego,56,,02-622,Warszawa, 
Grójecka,46/50,,02-320,Warszawa, 
Nowy Świat,62,,00-357,Warszawa, 
Bieniewicka,2,,01-592,Warszawa, 
Gwiaździsta,7,,01-651,Warszawa, 
Puławska,621B,,02-885,Warszawa, 
Nowy Świat,64,,00-357,Warszawa, 
Grójecka,34,,02-308,Warszawa, 
Nowy Świat,36,,00-363,Warszawa, 
Aleja Jerzego Waszyngtona,96,,04-015,Warszawa, 
Jacka Malczewskiego,6A,,05-091,Ząbki, 
Powstańców Warszawy,10,,05-840,Brwinów, 
Grochowska,178/184,,04-357,Warszawa, 
Targowa,72,,03-734,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Przejazd,4/U10,,02-654,Warszawa, 
Przejazd,6,,02-654,Warszawa, 
Antoniego Józefa Madalińskiego,38/40,,02-544,Warszawa, 
Polna,46,,00-644,Warszawa, 
Krakowskie Przedmieście,21/23,,00-071,Warszawa, 
Bielawska,16,,05-520,Konstancin-Jeziorna, 
Skolimowska,33,,05-520,Konstancin-Jeziorna, 
Marynin,21C,,01-469,Warszawa, 
Plac Defilad,1,,00-901,Warszawa, 
Nowy Świat,47A,,00-042,Warszawa, 
Aleja 3 Maja,12,,00-391,Warszawa, 
Aleja Jerzego Waszyngtona,75,,04-076,Warszawa, 
Nowy Świat,64,,00-357,Warszawa, 
Maurycego Mochnackiego,17,,02-041,Warszawa, 
Mikołaja Reja,3/5,,00-922,Warszawa, 
Wołoska,12,,02-675,Warszawa, 
Postępu,15d,,02-676,Warszawa, 
Postępu,15C,,02-676,Warszawa, 
Indiry Gandhi,27,,02-776,Warszawa, 
Żwirki i Wigury,1,,00-906,Warszawa, 
Światowida,41,,03-144,Warszawa, 
Światowida,41,,03-144,Warszawa, 
Radiowa,1a,,01-485,Warszawa, 
Świętokrzyska,34,,00-116,Warszawa, 
Mikołaja Kopernika,23,,00-359,Warszawa, 
Tamka,49,,00-355,Warszawa, 
Mikołaja Kopernika,25,,00-359,Warszawa, 
Tamka,49,,00-355,Warszawa, 
Konstantego Ildefonsa Gałczyńskiego,4,,00-362,Warszawa, 
Aleja Niepodległości,43,,02-653,Warszawa, 
Groszowicka,8,,03-814,Warszawa, 
Owsiana,5,,03-825,Warszawa, 
Puławska,47,,05-500,Piaseczno, 
Plac Trzech Krzyży,3,,00-535,Warszawa, 
Wspólna,65a,,00-687,Warszawa, 
Wspólna,65a,,00-687,Warszawa, 
Wspólna,65,,00-687,Warszawa, 
Światowida,41,,03-144,Warszawa, 
Światowida,41,,03-144,Warszawa, 
Władysława Jagiełły,6,,02-495,Warszawa, 
Biedronki,66,,02-959,Warszawa, 
Stanisława Lentza,2A,,02-956,Warszawa, 
Nowy Świat,40,,00-363,Warszawa, 
Solec,38,,00-394,Warszawa, 
Siennicka,3,,04-005,Warszawa, 
Jasna,22,,00-054,Warszawa, 
Grochowska,324 pawilon 15,,03-838,Warszawa, 
Grochowska,324 pawilon 13,,03-838,Warszawa, 
Grochowska,230/240,,01-059,Warszawa, 
Targowa,33,,03-728,Warszawa, 
Targowa,33a,,03-728,Warszawa, 
Wspólna Droga,5,,04-345,Warszawa, 
Carla Goldoniego,1,,01-906,, 
Włodzimierza Perzyńskiego,56a,,01-864,Warszawa, 
Włodzimierza Perzyńskiego,56a,,01-864,Warszawa, 
Chełmżyńska,158,,04-464,Warszawa, 
Ludwika Waryńskiego,3,,00-645,Warszawa, 
Grochowska,144/146,,04-328,Warszawa, 
Serocka,3,,04-333,Warszawa, 
Ludwika Waryńskiego,3,,00-645,Warszawa, 
Targowa,20a,,03-731,Warszawa, 
Nowy Świat,27A,,00-029,Warszawa, 
Jazdów,2,,00-467,Warszawa, 
Jubilerska,1/3,,04-190,Warszawa, 
Aleja Krakowska,109,,02-180,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Jagiellońska,55,,03-301,Warszawa, 
Powstańców Śląskich,49,,01-361,Warszawa, 
Złota,59,,00-120,Warszawa, 
Plac Żelaznej Bramy,1,,00-136,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Juliusza Słowackiego,2/4,,01-592,Warszawa, 
Generała Klemensa Stanisława Rudnickiego,10,,01-864,Warszawa, 
Ludwika Kondratowicza,18,,03-286,Warszawa, 
Zygmunta Krasińskiego,24,,01-592,Warszawa, 
Szkolna,9,,05-090,Raszyn, 
Górczewska,124,,01-460,Warszawa, 
Adama Mickiewicza,27,,01-562,Warszawa, 
Hanki Czaki,2,,01-592,Warszawa, 
Człuchowska,25,,01-361,Warszawa, 
Marymoncka,83/87,,01-804,Warszawa, 
Pasłęcka,8D,,03-137,Warszawa, 
Aleja Niepodległości,124,,02-577,Warszawa, 
Adama Mickiewicza,65,,01-650,Warszawa, 
Foksal,21,,00-372,Warszawa, 
Szpitalna,3,,00-031,Warszawa, 
Chmielna,5,,00-021,Warszawa, 
Jagiellońska,7,,03-721,Warszawa, 
Warecka,4/6,,00-040,Warszawa, 
Chmielna,12,,00-020,Warszawa, 
Szpitalna,8,,00-031,Warszawa, 
Przylesie,3,,03-153,Warszawa, 
Modlińska,310/312,,03-152,Warszawa, 
Wybrzeże Kościuszkowskie,31/33,,00-379,Warszawa, 
Wybrzeże Kościuszkowskie,31/33,,00-379,Warszawa, 
Okólnik,1,,00-368,Warszawa, 
Lwa Tołstoja,2,,01-910,Warszawa, 
Bracka,20,,00-028,Warszawa, 
Adama Mickiewicza,23,,01-517,Warszawa, 
Towarowa,33,,00-869,Warszawa, 
Generała Józefa Zajączka,11,,01-510,Warszawa, 
Suwalska,4,,03-200,Warszawa, 
Łaziebna,9,,04-316,Warszawa, 
Hansa Christiana Andersena,4,,01-911,Warszawa, 
Aleja Jana Pawła II,82,,00-175,Warszawa, 
Środkowa,30,,03-431,Warszawa, 
11 Listopada,42,,03-421,Warszawa, 
Księdza Ignacego Kłopotowskiego,31,,03-708,Warszawa, 
Aleja Wyzwolenia,14,,00-570,Warszawa, 
Krakowskie Przedmieście,24,,00-325,Warszawa, 
Harcerska,12,,05-820,Piastów, 
Aleja Tysiąclecia,5,,05-820,Piastów, 
Warszawska,24,,05-820,Piastów, 
Warszawska,24,,05-820,Piastów, 
Związku Walki Młodych,11,,02-786,Warszawa, 
Tamka,13A,,00-385,Warszawa, 
Powstańców Śląskich,70,,01-380,Warszawa, 
Powstańców Śląskich,90,,01-381,Warszawa, 
Warecka,9,,00-034,Warszawa, 
Chmielna,26,,00-020,Warszawa, 
Foksal,21,,00-372,Warszawa, 
Targowa,72,,03-734,Warszawa, 
"Aleja ""Solidarności""",60A,,00-240,Warszawa, 
Świerkowa,2,,05-805,Otrębusy, 
Bukowińska,8,,02-703,Warszawa, 
Tadeusza Kościuszki,15,,05-800,Pruszków, 
Księdza Ignacego Skorupki,2,,05-820,Piastów, 
Aleja Wojska Polskiego,11,,05-800,Pruszków, 
Waleriana Łukasińskiego,25,,05-820,Piastów, 
Aleja Józefa Piłsudskiego,32,,05-820,Piastów, 
Wojska Polskiego,28,,05-500,Piaseczno, 
Warszawska,28,,05-820,Piastów, 
Aleja Tysiąclecia,2C,,05-820,Piastów, 
Górczewska,124,,01-460,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Majdańska,13,,04-088,Warszawa, 
Skoroszewska,1B,,02-495,Warszawa, 
Skoroszewska,1,,02-495,Warszawa, 
Dzieci Warszawy,31,,02-495,Warszawa, 
Dzieci Warszawy,27A,,02-495,Warszawa, 
Dzieci Warszawy,31,,02-495,Warszawa, 
Dzieci Warszawy,27A,,02-495,Warszawa, 
Ciechanowska,29B,,05-800,Pruszków, 
Józefa Ignacego Kraszewskiego,13,,05-803,Pruszków, 
Emancypantek,4 lok.23,,05-800,Pruszków, 
Helenowska,3,,05-804,Pruszków, 
Narodowa,23,,05-800,Pruszków, 
Generała Władysława Andersa,33,,00-159,Warszawa, 
Aleja Krakowska,33,,05-090,Raszyn, 
Kredytowa,4,,00-062,Warszawa, 
Majowa,1,,05-800,Pruszków, 
Główna,114,,05-074,Cisie, 
Ludwika Kondratowicza,11,,03-242,Warszawa, 
Łojewska,11,,03-352,Warszawa, 
Kobielska,23,,04-359,Warszawa, 
Lwowska,20,,05-820,Piastów, 
Gołkowska,17,,02-905,Warszawa, 
Ludowa,4,,00-780,Warszawa, 
Rynek,21,,05-082,Stare Babice, 
Leśna,1,,05-830,Nadarzyn, 
Puławska,52,,02-559,Warszawa, 
Polnej Róży,6,U2,02-798,Warszawa, 
Sprawiedliwości,4,,05-800,Pruszków, 
Bolesława Prusa,31,,05-800,Pruszków, 
Kościelna,22,,05-800,Pruszków, 
Bolesława Prusa,11,,05-800,Pruszków, 
Bolesława Prusa,31,,05-800,Pruszków, 
Józefa Ignacego Kraszewskiego,26,,05-803,Pruszków, 
Kościelna,17,,05-800,Pruszków, 
Józefa Ignacego Kraszewskiego,32,,05-800,Pruszków, 
Kościelna,16,,05-800,Pruszków, 
Józefa Ignacego Kraszewskiego,38,,05-800,Pruszków, 
Piastowska,2,,05-071,Sulejówek, 
Jana Pawła II,39,,05-807,Żółwin, 
Marywilska,H131,,03-042,Warszawa, 
Górczewska,124,,01-460,Warszawa, 
Kobielska,19,,04-359,Warszawa, 
Chełmska,50,,00-725,Warszawa, 
Górska,7,,00-740,Warszawa, 
Warszawska,36B,,05-820,Piastów, 
Józsefa Antalla,5,,03-126,Warszawa, 
Jerzego Zaruby,2,,02-796,Warszawa, 
Jerzego Zaruby,2,,02-796,Warszawa, 
Narwik,22/1,,01-471,Warszawa, 
Aleja Komisji Edukacji Narodowej,19,,02-797,Warszawa, 
Świętokrzyska,30,,00-116,Warszawa, 
Wybrzeże Kościuszkowskie,41,,00-347,Warszawa, 
Wybrzeże Kościuszkowskie,41,,00-347,Warszawa, 
Modlińska,304,,03-152,Warszawa, 
Modlińska,331,,03-151,Warszawa, 
Modlińska,304,,03-152,Warszawa, 
Juliusza Słowackiego,19a,,01-592,Warszawa, 
Filarecka,3,,01-582,Warszawa, 
Książęca,6,,00-498,Warszawa, 
Melchiora Wańkowicza,1,,02-796,Warszawa, 
Melchiora Wańkowicza,1,,02-796,Warszawa, 
Aleja Komisji Edukacji Narodowej,20,,02-797,Warszawa, 
Melchiora Wańkowicza,1,,02-796,Warszawa, 
Melchiora Wańkowicza,1,,02-796,Warszawa, 
Melchiora Wańkowicza,1,,02-796,Warszawa, 
Wawrzyńca Żuławskiego,4/6,,02-641,Warszawa, 
Wiktorska,89,,02-584,Warszawa, 
Modlińska,310/312,,03-152,Warszawa, 
Modlińska,310/312,,03-152,Warszawa, 
Modlińska,310/312,,03-152,Warszawa, 
Modlińska,310/312,,03-152,Warszawa, 
Józefa Wybickiego,3,,05-820,Piastów, 
Jana Olbrachta,35,,01-102,Warszawa, 
Czerniakowska,137,,00-720,Warszawa, 
Prymasa Stefana Wyszyńskiego,7/21,,05-220,Zielonka, 
Modlińska,351,,03-151,Warszawa, 
Modlińska,351,,03-151,Warszawa, 
Modlińska,351,,03-189,Warszawa, 
Modlińska,286,,03-152,Warszawa, 
Józefa Mehoffera,73,,03-118,Warszawa, 
Aleja Jana Pawła II,68,,00-170,Warszawa, 
Jasna,2,,05-800,Pruszków, 
Bukowińska,12,,02-703,Warszawa, 
Puławska,326,,02-845,Warszawa, 
Aleja Niepodległości,159,,02-555,Warszawa, 
Księdza Juliana Chrościckiego,14,,02-421,Warszawa, 
Antoniego Edwarda Odyńca,15,,02-606,Warszawa, 
Aleja Marszałka Józefa Piłsudskiego,2A,,05-270,Marki, 
Łukowa,1,,02-767,Warszawa, 
Emilii Plater,4,,00-669,Warszawa, 
Dzika,15,,00-172,Warszawa, 
Synów Pułku,15a,,01-354,Warszawa, 
Czesława Witoszyńskiego,2,,03-983,Warszawa, 
Generała Klemensa Stanisława Rudnickiego,10,,01-858,Warszawa, 
Barcicka,25,,01-806,Warszawa, 
Generała Tadeusza Pełczyńskiego,28c,,01-381,Warszawa, 
Szkolna,paw. 2,,05-500,, 
Myśliborska,102,,03-189,Warszawa, 
Tadeusza Rejtana,6,,02-516,Warszawa, 
3 Maja,129,,05-420,Józefów, 
"Aleja ""Solidarności""",117,,00-140,Warszawa, 
Ludna,3A,,00-409,Warszawa, 
